keyword,matched_word,sentence,quality_attribute,filename,source,author,repo,version,url
optimiz,optimization,louvain_time_limit int (default: 2000)Maximum number of seconds to run modularity optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=louvain_time_limit%20int%20%28default%3A%202000%29Maximum%20number%20of%20seconds%20to%20run%20modularity%20optimization
optimiz,optimization,seed int | None (default: None)Leiden initialization of the optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=seed%20int%20%7C%20None%20%28default%3A%20None%29Leiden%20initialization%20of%20the%20optimization
fast,faster,"computation, performs faster than kdtree",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=computation%2C%20performs%20faster%20than%20kdtree
fast,faster,    # write a cache file for faster subsequent reading,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.datasets.pbmc3k.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.datasets.pbmc3k.html#:~:text=%20%20%20%20%23%20write%20a%20cache%20file%20for%20faster%20subsequent%20reading
perf,performed,"As analysis steps, the embeddings tsne() and umap() are performed",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.datasets.pbmc3k_processed.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.datasets.pbmc3k_processed.html#:~:text=As%20analysis%20steps%2C%20the%20embeddings%20tsne%28%29%20and%20umap%28%29%20are%20performed
speed,speed, Setting this to False can speed up code for large datasets,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.highly_variable_genes.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.highly_variable_genes.html#:~:text=%20Setting%20this%20to%20False%20can%20speed%20up%20code%20for%20large%20datasets
speed,speed, Setting this to False can speed up code for large datasets,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.normalize_pearson_residuals.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.normalize_pearson_residuals.html#:~:text=%20Setting%20this%20to%20False%20can%20speed%20up%20code%20for%20large%20datasets
optimiz,optimization,random_state float (default: 0)Random seed for setting the initial states for the optimization in the PCA step,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.normalize_pearson_residuals_pca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.normalize_pearson_residuals_pca.html#:~:text=random_state%20float%20%28default%3A%200%29Random%20seed%20for%20setting%20the%20initial%20states%20for%20the%20optimization%20in%20the%20PCA%20step
speed,speed, Setting this to False can speed up code for large datasets,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.normalize_pearson_residuals_pca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.normalize_pearson_residuals_pca.html#:~:text=%20Setting%20this%20to%20False%20can%20speed%20up%20code%20for%20large%20datasets
perf,performed,Pearson residual normalization and PCA are performed,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.recipe_pearson_residuals.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.recipe_pearson_residuals.html#:~:text=Pearson%20residual%20normalization%20and%20PCA%20are%20performed
optimiz,optimization,random_state float | None (default: 0)Random seed for setting the initial states for the optimization in the PCA step,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.recipe_pearson_residuals.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.recipe_pearson_residuals.html#:~:text=random_state%20float%20%7C%20None%20%28default%3A%200%29Random%20seed%20for%20setting%20the%20initial%20states%20for%20the%20optimization%20in%20the%20PCA%20step
speed,speed, Setting this to False can speed up code for large datasets,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.experimental.pp.recipe_pearson_residuals.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.recipe_pearson_residuals.html#:~:text=%20Setting%20this%20to%20False%20can%20speed%20up%20code%20for%20large%20datasets
fast,faster,"This option will make the export a lot faster,",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.exporting.cellbrowser.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.exporting.cellbrowser.html#:~:text=This%20option%20will%20make%20the%20export%20a%20lot%20faster%2C
perf,performance, This improves performance at a minor cost to numerical,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.bbknn.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.bbknn.html#:~:text=%20This%20improves%20performance%20at%20a%20minor%20cost%20to%20numerical
perf,performed,"normalize_per_cell bool (default: True)If true, library size normalization is performed using",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.dca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.dca.html#:~:text=normalize_per_cell%20bool%20%28default%3A%20True%29If%20true%2C%20library%20size%20normalization%20is%20performed%20using
perf,performed,"batchnorm bool (default: True)If true, batch normalization is performed",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.dca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.dca.html#:~:text=batchnorm%20bool%20%28default%3A%20True%29If%20true%2C%20batch%20normalization%20is%20performed
optimiz,optimizer,"0, batchnorm=True, activation='relu', init='glorot_uniform', network_kwds=mappingproxy({}), epochs=300, reduce_lr=10, early_stop=15, batch_size=32, optimizer='RMSprop', random_state=0, threads=None, learning_rate=None, verbose=False, training_kwds=mappingproxy({}), return_model=False, return_info=False, copy=False)[source]#",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.dca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.dca.html#:~:text=0%2C%20batchnorm%3DTrue%2C%20activation%3D%27relu%27%2C%20init%3D%27glorot_uniform%27%2C%20network_kwds%3Dmappingproxy%28%7B%7D%29%2C%20epochs%3D300%2C%20reduce_lr%3D10%2C%20early_stop%3D15%2C%20batch_size%3D32%2C%20optimizer%3D%27RMSprop%27%2C%20random_state%3D0%2C%20threads%3DNone%2C%20learning_rate%3DNone%2C%20verbose%3DFalse%2C%20training_kwds%3Dmappingproxy%28%7B%7D%29%2C%20return_model%3DFalse%2C%20return_info%3DFalse%2C%20copy%3DFalse%29%5Bsource%5D%23
optimiz,optimizer,optimizer str (default: 'RMSprop')Type of optimization method used for training,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.dca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.dca.html#:~:text=optimizer%20str%20%28default%3A%20%27RMSprop%27%29Type%20of%20optimization%20method%20used%20for%20training
perf,performing,"principal components, this function should be run after performing",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.harmony_integrate.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.harmony_integrate.html#:~:text=principal%20components%2C%20this%20function%20should%20be%20run%20after%20performing
perf,performed,"If provided, demultiplexing will be performed separately for each",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.hashsolo.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.hashsolo.html#:~:text=If%20provided%2C%20demultiplexing%20will%20be%20performed%20separately%20for%20each
perf,performed," If None, no PCA is performed",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.magic.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html#:~:text=%20If%20None%2C%20no%20PCA%20is%20performed
perf,performs,implementation that performs imputation in the PCA space and then,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.magic.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html#:~:text=implementation%20that%20performs%20imputation%20in%20the%20PCA%20space%20and%20then
speed,speed,"in the PCA space, rather than the data space, for speed and",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.magic.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html#:~:text=in%20the%20PCA%20space%2C%20rather%20than%20the%20data%20space%2C%20for%20speed%20and
fast,faster, “approximate” uses a faster,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.magic.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html#:~:text=%20%E2%80%9Capproximate%E2%80%9D%20uses%20a%20faster
perf,perform,"subset of vars to perform MNN correction, and should be supplied with",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.mnn_correct.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.mnn_correct.html#:~:text=subset%20of%20vars%20to%20perform%20MNN%20correction%2C%20and%20should%20be%20supplied%20with
perf,performing,var_subset Collection[str] | None (default: None)The subset of vars (list of str) to be used when performing MNN,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.mnn_correct.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.mnn_correct.html#:~:text=var_subset%20Collection%5Bstr%5D%20%7C%20None%20%28default%3A%20None%29The%20subset%20of%20vars%20%28list%20of%20str%29%20to%20be%20used%20when%20performing%20MNN
perf,performed,cos_norm_in bool (default: True)Whether cosine normalization should be performed on the input data prior,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.mnn_correct.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.mnn_correct.html#:~:text=cos_norm_in%20bool%20%28default%3A%20True%29Whether%20cosine%20normalization%20should%20be%20performed%20on%20the%20input%20data%20prior
perf,performed,cos_norm_out bool (default: True)Whether cosine normalization should be performed prior to computing corrected expression values,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.mnn_correct.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.mnn_correct.html#:~:text=cos_norm_out%20bool%20%28default%3A%20True%29Whether%20cosine%20normalization%20should%20be%20performed%20prior%20to%20computing%20corrected%20expression%20values
perf,perfores, 'irlb' perfores,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.mnn_correct.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.mnn_correct.html#:~:text=%20%27irlb%27%20perfores
perf,performing,function should be run after performing PCA but before computing,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.scanorama_integrate.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.scanorama_integrate.html#:~:text=function%20should%20be%20run%20after%20performing%20PCA%20but%20before%20computing
speed,speeds,greatly speeds up matching runtime,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.external.pp.scanorama_integrate.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.scanorama_integrate.html#:~:text=greatly%20speeds%20up%20matching%20runtime
perf,perform,"Aggregation to perform is specified by func, which can be a single metric or a",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.get.aggregate.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.get.aggregate.html#:~:text=Aggregation%20to%20perform%20is%20specified%20by%20func%2C%20which%20can%20be%20a%20single%20metric%20or%20a
perf,perform,"chunked bool (default: False)If True, perform an incremental PCA on segments of chunk_size",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.pp.pca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.pp.pca.html#:~:text=chunked%20bool%20%28default%3A%20False%29If%20True%2C%20perform%20an%20incremental%20PCA%20on%20segments%20of%20chunk_size
perf,perform," If False, perform a full PCA and",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.pp.pca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.pp.pca.html#:~:text=%20If%20False%2C%20perform%20a%20full%20PCA%20and
optimiz,optimization,"random_state Union[int, RandomState, None] (default: 0)Change to use different initial states for the optimization",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.pp.pca.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.pp.pca.html#:~:text=random_state%20Union%5Bint%2C%20RandomState%2C%20None%5D%20%28default%3A%200%29Change%20to%20use%20different%20initial%20states%20for%20the%20optimization
perf,performed,copy bool (default: False)Whether this function should be performed inplace,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.pp.scale.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.pp.scale.html#:~:text=copy%20bool%20%28default%3A%20False%29Whether%20this%20function%20should%20be%20performed%20inplace
speed,speed,"To speed up reading, consider passing cache=True, which creates an hdf5",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.read.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.read.html#:~:text=To%20speed%20up%20reading%2C%20consider%20passing%20cache%3DTrue%2C%20which%20creates%20an%20hdf5
fast,fast,"cache bool (default: False)If False, read from source, if True, read from fast ‘h5ad’ cache",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.read.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.read.html#:~:text=cache%20bool%20%28default%3A%20False%29If%20False%2C%20read%20from%20source%2C%20if%20True%2C%20read%20from%20fast%20%E2%80%98h5ad%E2%80%99%20cache
fast,fast,"cache bool (default: False)If False, read from source, if True, read from fast ‘h5ad’ cache",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.read_10x_mtx.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.read_10x_mtx.html#:~:text=cache%20bool%20%28default%3A%20False%29If%20False%2C%20read%20from%20source%2C%20if%20True%2C%20read%20from%20fast%20%E2%80%98h5ad%E2%80%99%20cache
speed,speed,loading speed,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.read_h5ad.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.read_h5ad.html#:~:text=loading%20speed
perf,perform,"Otherwise, perform computation inplace and return None",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.dpt.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.dpt.html#:~:text=Otherwise%2C%20perform%20computation%20inplace%20and%20return%20None
optimiz,optimization,different intial states for the optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.draw_graph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.draw_graph.html#:~:text=different%20intial%20states%20for%20the%20optimization
fast,faster,"faster than ‘fr’), ‘kk’ (Kamadi Kawai’, slower than ‘fr’), ‘lgl’ (Large",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.draw_graph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.draw_graph.html#:~:text=faster%20than%20%E2%80%98fr%E2%80%99%29%2C%20%E2%80%98kk%E2%80%99%20%28Kamadi%20Kawai%E2%80%99%2C%20slower%20than%20%E2%80%98fr%E2%80%99%29%2C%20%E2%80%98lgl%E2%80%99%20%28Large
fast,fast,"Graph, very fast), ‘drl’ (Distributed Recursive Layout, pretty fast) and",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.draw_graph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.draw_graph.html#:~:text=Graph%2C%20very%20fast%29%2C%20%E2%80%98drl%E2%80%99%20%28Distributed%20Recursive%20Layout%2C%20pretty%20fast%29%20and
perf,performed, This can be performed per category over a,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.embedding_density.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.embedding_density.html#:~:text=%20This%20can%20be%20performed%20per%20category%20over%20a
perf,perform,n_iterations int (default: -1)How many iterations of the Leiden clustering algorithm to perform,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.leiden.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.leiden.html#:~:text=n_iterations%20int%20%28default%3A%20-1%29How%20many%20iterations%20of%20the%20Leiden%20clustering%20algorithm%20to%20perform
perf,perform,"Positive values above 2 define the total number of iterations to perform,",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.leiden.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.leiden.html#:~:text=Positive%20values%20above%202%20define%20the%20total%20number%20of%20iterations%20to%20perform%2C
optimiz,optimization,"random_state Union[int, RandomState, None] (default: 0)Change the initialization of the optimization",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.leiden.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.leiden.html#:~:text=random_state%20Union%5Bint%2C%20RandomState%2C%20None%5D%20%28default%3A%200%29Change%20the%20initialization%20of%20the%20optimization
fast,faster,2 is faster and the default for underlying packages,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.leiden.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.leiden.html#:~:text=2%20is%20faster%20and%20the%20default%20for%20underlying%20packages
optimiz,optimization,"random_state Union[int, RandomState, None] (default: 0)Change the initialization of the optimization",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.louvain.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.louvain.html#:~:text=random_state%20Union%5Bint%2C%20RandomState%2C%20None%5D%20%28default%3A%200%29Change%20the%20initialization%20of%20the%20optimization
perf,perform," Otherwise, perform",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.paga.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.paga.html#:~:text=%20Otherwise%2C%20perform
perf,perform,layers whose value will be used to perform tests on,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.rank_genes_groups.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.rank_genes_groups.html#:~:text=layers%20whose%20value%20will%20be%20used%20to%20perform%20tests%20on
optimiz,optimization," If the cost function increases during initial optimization,",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.tsne.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.tsne.html#:~:text=%20If%20the%20cost%20function%20increases%20during%20initial%20optimization%2C
optimiz,optimization,"optimization, the early exaggeration factor or the learning rate",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.tsne.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.tsne.html#:~:text=optimization%2C%20the%20early%20exaggeration%20factor%20or%20the%20learning%20rate
optimiz,optimization,"random_state Union[int, RandomState, None] (default: 0)Change this to use different intial states for the optimization",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.tsne.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.tsne.html#:~:text=random_state%20Union%5Bint%2C%20RandomState%2C%20None%5D%20%28default%3A%200%29Change%20this%20to%20use%20different%20intial%20states%20for%20the%20optimization
speed,speedup,a huge speedup and better convergence if you install Multicore-tSNE,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.tsne.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.tsne.html#:~:text=a%20huge%20speedup%20and%20better%20convergence%20if%20you%20install%20Multicore-tSNE
optimiz,optimizes,"be faster than tSNE, it optimizes the embedding such that it best reflects",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=be%20faster%20than%20tSNE%2C%20it%20optimizes%20the%20embedding%20such%20that%20it%20best%20reflects
optimiz,optimizes," tSNE, by contrast, optimizes the distribution of",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=%20tSNE%2C%20by%20contrast%2C%20optimizes%20the%20distribution%20of
optimiz,optimization,maxiter int | None (default: None)The number of iterations (epochs) of the optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=maxiter%20int%20%7C%20None%20%28default%3A%20None%29The%20number%20of%20iterations%20%28epochs%29%20of%20the%20optimization
optimiz,optimization,0)The initial learning rate for the embedding optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=0%29The%20initial%20learning%20rate%20for%20the%20embedding%20optimization
optimiz,optimization,optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=optimization
optimiz,optimizing,edge/1-simplex sample in optimizing the low dimensional embedding,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=edge/1-simplex%20sample%20in%20optimizing%20the%20low%20dimensional%20embedding
fast,faster,"be faster than tSNE, it optimizes the embedding such that it best reflects",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\generated\scanpy.tl.umap.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/generated/scanpy.tl.umap.html#:~:text=be%20faster%20than%20tSNE%2C%20it%20optimizes%20the%20embedding%20such%20that%20it%20best%20reflects
