id,filename,ext,embedding_no_type,element_type,function.name,function.parameters,function.type,embedding,author,repo_name,tag,import,import.name,import.from,import.path,constant,constant.name,constant.value,function.docstring,class.name,method.name,method.parameters,class.field,class.instance_field,method.type,method.decorator,class.base,field.name,field.default
scverse_scanpy_1.10.1,conf.py,python,"exclude_patterns = [""_build"", ""Thumbs.db"", "".DS_Store"", ""**.ipynb_checkpoints""]",constant,,,,"Constant: exclude_patterns = [""_build"", ""Thumbs.db"", "".DS_Store"", ""**.ipynb_checkpoints""]",scverse,scanpy,1.10.1,,,,,"exclude_patterns = [""_build"", ""Thumbs.db"", "".DS_Store"", ""**.ipynb_checkpoints""]",exclude_patterns,"[""_build"", ""Thumbs.db"", "".DS_Store"", ""**.ipynb_checkpoints""]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"extensions = [
    ""myst_nb"",
    ""sphinx_copybutton"",
    ""sphinx.ext.autodoc"",
    ""sphinx.ext.intersphinx"",
    ""sphinx.ext.doctest"",
    ""sphinx.ext.coverage"",
    ""sphinx.ext.mathjax"",
    ""sphinx.ext.napoleon"",
    ""sphinx.ext.autosummary"",
    ""sphinx.ext.extlinks"",
    ""sphinxcontrib.bibtex"",
    ""matplotlib.sphinxext.plot_directive"",
    ""sphinx_autodoc_typehints"",  # needs to be after napoleon
    ""git_ref"",  # needs to be before scanpydoc.rtd_github_links
    ""scanpydoc"",  # needs to be before sphinx.ext.linkcode
    ""sphinx.ext.linkcode"",
    ""sphinx_design"",
    ""sphinx_search.extension"",
    ""sphinxext.opengraph"",
    *[p.stem for p in (HERE / ""extensions"").glob(""*.py"") if p.stem not in {""git_ref""}],
]",constant,,,,"Constant: extensions = [
    ""myst_nb"",
    ""sphinx_copybutton"",
    ""sphinx.ext.autodoc"",
    ""sphinx.ext.intersphinx"",
    ""sphinx.ext.doctest"",
    ""sphinx.ext.coverage"",
    ""sphinx.ext.mathjax"",
    ""sphinx.ext.napoleon"",
    ""sphinx.ext.autosummary"",
    ""sphinx.ext.extlinks"",
    ""sphinxcontrib.bibtex"",
    ""matplotlib.sphinxext.plot_directive"",
    ""sphinx_autodoc_typehints"",  # needs to be after napoleon
    ""git_ref"",  # needs to be before scanpydoc.rtd_github_links
    ""scanpydoc"",  # needs to be before sphinx.ext.linkcode
    ""sphinx.ext.linkcode"",
    ""sphinx_design"",
    ""sphinx_search.extension"",
    ""sphinxext.opengraph"",
    *[p.stem for p in (HERE / ""extensions"").glob(""*.py"") if p.stem not in {""git_ref""}],
]",scverse,scanpy,1.10.1,,,,,"extensions = [
    ""myst_nb"",
    ""sphinx_copybutton"",
    ""sphinx.ext.autodoc"",
    ""sphinx.ext.intersphinx"",
    ""sphinx.ext.doctest"",
    ""sphinx.ext.coverage"",
    ""sphinx.ext.mathjax"",
    ""sphinx.ext.napoleon"",
    ""sphinx.ext.autosummary"",
    ""sphinx.ext.extlinks"",
    ""sphinxcontrib.bibtex"",
    ""matplotlib.sphinxext.plot_directive"",
    ""sphinx_autodoc_typehints"",  # needs to be after napoleon
    ""git_ref"",  # needs to be before scanpydoc.rtd_github_links
    ""scanpydoc"",  # needs to be before sphinx.ext.linkcode
    ""sphinx.ext.linkcode"",
    ""sphinx_design"",
    ""sphinx_search.extension"",
    ""sphinxext.opengraph"",
    *[p.stem for p in (HERE / ""extensions"").glob(""*.py"") if p.stem not in {""git_ref""}],
]",extensions,"[
    ""myst_nb"",
    ""sphinx_copybutton"",
    ""sphinx.ext.autodoc"",
    ""sphinx.ext.intersphinx"",
    ""sphinx.ext.doctest"",
    ""sphinx.ext.coverage"",
    ""sphinx.ext.mathjax"",
    ""sphinx.ext.napoleon"",
    ""sphinx.ext.autosummary"",
    ""sphinx.ext.extlinks"",
    ""sphinxcontrib.bibtex"",
    ""matplotlib.sphinxext.plot_directive"",
    ""sphinx_autodoc_typehints"",  # needs to be after napoleon
    ""git_ref"",  # needs to be before scanpydoc.rtd_github_links
    ""scanpydoc"",  # needs to be before sphinx.ext.linkcode
    ""sphinx.ext.linkcode"",
    ""sphinx_design"",
    ""sphinx_search.extension"",
    ""sphinxext.opengraph"",
    *[p.stem for p in (HERE / ""extensions"").glob(""*.py"") if p.stem not in {""git_ref""}],
]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,autosummary_generate = True,constant,,,,Constant: autosummary_generate = True,scverse,scanpy,1.10.1,,,,,autosummary_generate = True,autosummary_generate,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"autodoc_member_order = ""bysource""",constant,,,,"Constant: autodoc_member_order = ""bysource""",scverse,scanpy,1.10.1,,,,,"autodoc_member_order = ""bysource""",autodoc_member_order,"""bysource""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,napoleon_google_docstring = False,constant,,,,Constant: napoleon_google_docstring = False,scverse,scanpy,1.10.1,,,,,napoleon_google_docstring = False,napoleon_google_docstring,False,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,napoleon_numpy_docstring = True,constant,,,,Constant: napoleon_numpy_docstring = True,scverse,scanpy,1.10.1,,,,,napoleon_numpy_docstring = True,napoleon_numpy_docstring,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,napoleon_include_init_with_doc = False,constant,,,,Constant: napoleon_include_init_with_doc = False,scverse,scanpy,1.10.1,,,,,napoleon_include_init_with_doc = False,napoleon_include_init_with_doc,False,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,napoleon_use_rtype = True,constant,,,,Constant: napoleon_use_rtype = True,scverse,scanpy,1.10.1,,,,,napoleon_use_rtype = True,napoleon_use_rtype,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,napoleon_use_param = True,constant,,,,Constant: napoleon_use_param = True,scverse,scanpy,1.10.1,,,,,napoleon_use_param = True,napoleon_use_param,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"napoleon_custom_sections = [(""Params"", ""Parameters"")]",constant,,,,"Constant: napoleon_custom_sections = [(""Params"", ""Parameters"")]",scverse,scanpy,1.10.1,,,,,"napoleon_custom_sections = [(""Params"", ""Parameters"")]",napoleon_custom_sections,"[(""Params"", ""Parameters"")]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,todo_include_todos = False,constant,,,,Constant: todo_include_todos = False,scverse,scanpy,1.10.1,,,,,todo_include_todos = False,todo_include_todos,False,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"api_dir = HERE / ""api""",constant,,,,"Constant: api_dir = HERE / ""api""",scverse,scanpy,1.10.1,,,,,"api_dir = HERE / ""api""",api_dir,"HERE / ""api""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"myst_enable_extensions = [
    ""amsmath"",
    ""colon_fence"",
    ""deflist"",
    ""dollarmath"",
    ""html_image"",
    ""html_admonition"",
]",constant,,,,"Constant: myst_enable_extensions = [
    ""amsmath"",
    ""colon_fence"",
    ""deflist"",
    ""dollarmath"",
    ""html_image"",
    ""html_admonition"",
]",scverse,scanpy,1.10.1,,,,,"myst_enable_extensions = [
    ""amsmath"",
    ""colon_fence"",
    ""deflist"",
    ""dollarmath"",
    ""html_image"",
    ""html_admonition"",
]",myst_enable_extensions,"[
    ""amsmath"",
    ""colon_fence"",
    ""deflist"",
    ""dollarmath"",
    ""html_image"",
    ""html_admonition"",
]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"myst_url_schemes = (""http"", ""https"", ""mailto"", ""ftp"")",constant,,,,"Constant: myst_url_schemes = (""http"", ""https"", ""mailto"", ""ftp"")",scverse,scanpy,1.10.1,,,,,"myst_url_schemes = (""http"", ""https"", ""mailto"", ""ftp"")",myst_url_schemes,"(""http"", ""https"", ""mailto"", ""ftp"")",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"nb_output_stderr = ""remove""",constant,,,,"Constant: nb_output_stderr = ""remove""",scverse,scanpy,1.10.1,,,,,"nb_output_stderr = ""remove""",nb_output_stderr,"""remove""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"nb_execution_mode = ""off""",constant,,,,"Constant: nb_execution_mode = ""off""",scverse,scanpy,1.10.1,,,,,"nb_execution_mode = ""off""",nb_execution_mode,"""off""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,nb_merge_streams = True,constant,,,,Constant: nb_merge_streams = True,scverse,scanpy,1.10.1,,,,,nb_merge_streams = True,nb_merge_streams,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"ogp_site_url = ""https://scanpy.readthedocs.io/en/stable/""",constant,,,,"Constant: ogp_site_url = ""https://scanpy.readthedocs.io/en/stable/""",scverse,scanpy,1.10.1,,,,,"ogp_site_url = ""https://scanpy.readthedocs.io/en/stable/""",ogp_site_url,"""https://scanpy.readthedocs.io/en/stable/""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"ogp_image = ""https://scanpy.readthedocs.io/en/stable/_static/Scanpy_Logo_BrightFG.svg""",constant,,,,"Constant: ogp_image = ""https://scanpy.readthedocs.io/en/stable/_static/Scanpy_Logo_BrightFG.svg""",scverse,scanpy,1.10.1,,,,,"ogp_image = ""https://scanpy.readthedocs.io/en/stable/_static/Scanpy_Logo_BrightFG.svg""",ogp_image,"""https://scanpy.readthedocs.io/en/stable/_static/Scanpy_Logo_BrightFG.svg""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"typehints_defaults = ""braces""",constant,,,,"Constant: typehints_defaults = ""braces""",scverse,scanpy,1.10.1,,,,,"typehints_defaults = ""braces""",typehints_defaults,"""braces""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"pygments_style = ""default""",constant,,,,"Constant: pygments_style = ""default""",scverse,scanpy,1.10.1,,,,,"pygments_style = ""default""",pygments_style,"""default""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"pygments_dark_style = ""native""",constant,,,,"Constant: pygments_dark_style = ""native""",scverse,scanpy,1.10.1,,,,,"pygments_dark_style = ""native""",pygments_dark_style,"""native""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"intersphinx_mapping = dict(
    anndata=(""https://anndata.readthedocs.io/en/stable/"", None),
    bbknn=(""https://bbknn.readthedocs.io/en/latest/"", None),
    cuml=(""https://docs.rapids.ai/api/cuml/stable/"", None),
    cycler=(""https://matplotlib.org/cycler/"", None),
    dask=(""https://docs.dask.org/en/stable/"", None),
    dask_ml=(""https://ml.dask.org/"", None),
    h5py=(""https://docs.h5py.org/en/stable/"", None),
    ipython=(""https://ipython.readthedocs.io/en/stable/"", None),
    igraph=(""https://python.igraph.org/en/stable/api/"", None),
    leidenalg=(""https://leidenalg.readthedocs.io/en/latest/"", None),
    louvain=(""https://louvain-igraph.readthedocs.io/en/latest/"", None),
    matplotlib=(""https://matplotlib.org/stable/"", None),
    networkx=(""https://networkx.org/documentation/stable/"", None),
    numpy=(""https://numpy.org/doc/stable/"", None),
    pandas=(""https://pandas.pydata.org/pandas-docs/stable/"", None),
    pynndescent=(""https://pynndescent.readthedocs.io/en/latest/"", None),
    pytest=(""https://docs.pytest.org/en/latest/"", None),
    python=(""https://docs.python.org/3"", None),
    rapids_singlecell=(""https://rapids-singlecell.readthedocs.io/en/latest/"", None),
    scipy=(""https://docs.scipy.org/doc/scipy/"", None),
    seaborn=(""https://seaborn.pydata.org/"", None),
    sklearn=(""https://scikit-learn.org/stable/"", None),
)",constant,,,,"Constant: intersphinx_mapping = dict(
    anndata=(""https://anndata.readthedocs.io/en/stable/"", None),
    bbknn=(""https://bbknn.readthedocs.io/en/latest/"", None),
    cuml=(""https://docs.rapids.ai/api/cuml/stable/"", None),
    cycler=(""https://matplotlib.org/cycler/"", None),
    dask=(""https://docs.dask.org/en/stable/"", None),
    dask_ml=(""https://ml.dask.org/"", None),
    h5py=(""https://docs.h5py.org/en/stable/"", None),
    ipython=(""https://ipython.readthedocs.io/en/stable/"", None),
    igraph=(""https://python.igraph.org/en/stable/api/"", None),
    leidenalg=(""https://leidenalg.readthedocs.io/en/latest/"", None),
    louvain=(""https://louvain-igraph.readthedocs.io/en/latest/"", None),
    matplotlib=(""https://matplotlib.org/stable/"", None),
    networkx=(""https://networkx.org/documentation/stable/"", None),
    numpy=(""https://numpy.org/doc/stable/"", None),
    pandas=(""https://pandas.pydata.org/pandas-docs/stable/"", None),
    pynndescent=(""https://pynndescent.readthedocs.io/en/latest/"", None),
    pytest=(""https://docs.pytest.org/en/latest/"", None),
    python=(""https://docs.python.org/3"", None),
    rapids_singlecell=(""https://rapids-singlecell.readthedocs.io/en/latest/"", None),
    scipy=(""https://docs.scipy.org/doc/scipy/"", None),
    seaborn=(""https://seaborn.pydata.org/"", None),
    sklearn=(""https://scikit-learn.org/stable/"", None),
)",scverse,scanpy,1.10.1,,,,,"intersphinx_mapping = dict(
    anndata=(""https://anndata.readthedocs.io/en/stable/"", None),
    bbknn=(""https://bbknn.readthedocs.io/en/latest/"", None),
    cuml=(""https://docs.rapids.ai/api/cuml/stable/"", None),
    cycler=(""https://matplotlib.org/cycler/"", None),
    dask=(""https://docs.dask.org/en/stable/"", None),
    dask_ml=(""https://ml.dask.org/"", None),
    h5py=(""https://docs.h5py.org/en/stable/"", None),
    ipython=(""https://ipython.readthedocs.io/en/stable/"", None),
    igraph=(""https://python.igraph.org/en/stable/api/"", None),
    leidenalg=(""https://leidenalg.readthedocs.io/en/latest/"", None),
    louvain=(""https://louvain-igraph.readthedocs.io/en/latest/"", None),
    matplotlib=(""https://matplotlib.org/stable/"", None),
    networkx=(""https://networkx.org/documentation/stable/"", None),
    numpy=(""https://numpy.org/doc/stable/"", None),
    pandas=(""https://pandas.pydata.org/pandas-docs/stable/"", None),
    pynndescent=(""https://pynndescent.readthedocs.io/en/latest/"", None),
    pytest=(""https://docs.pytest.org/en/latest/"", None),
    python=(""https://docs.python.org/3"", None),
    rapids_singlecell=(""https://rapids-singlecell.readthedocs.io/en/latest/"", None),
    scipy=(""https://docs.scipy.org/doc/scipy/"", None),
    seaborn=(""https://seaborn.pydata.org/"", None),
    sklearn=(""https://scikit-learn.org/stable/"", None),
)",intersphinx_mapping,"dict(
    anndata=(""https://anndata.readthedocs.io/en/stable/"", None),
    bbknn=(""https://bbknn.readthedocs.io/en/latest/"", None),
    cuml=(""https://docs.rapids.ai/api/cuml/stable/"", None),
    cycler=(""https://matplotlib.org/cycler/"", None),
    dask=(""https://docs.dask.org/en/stable/"", None),
    dask_ml=(""https://ml.dask.org/"", None),
    h5py=(""https://docs.h5py.org/en/stable/"", None),
    ipython=(""https://ipython.readthedocs.io/en/stable/"", None),
    igraph=(""https://python.igraph.org/en/stable/api/"", None),
    leidenalg=(""https://leidenalg.readthedocs.io/en/latest/"", None),
    louvain=(""https://louvain-igraph.readthedocs.io/en/latest/"", None),
    matplotlib=(""https://matplotlib.org/stable/"", None),
    networkx=(""https://networkx.org/documentation/stable/"", None),
    numpy=(""https://numpy.org/doc/stable/"", None),
    pandas=(""https://pandas.pydata.org/pandas-docs/stable/"", None),
    pynndescent=(""https://pynndescent.readthedocs.io/en/latest/"", None),
    pytest=(""https://docs.pytest.org/en/latest/"", None),
    python=(""https://docs.python.org/3"", None),
    rapids_singlecell=(""https://rapids-singlecell.readthedocs.io/en/latest/"", None),
    scipy=(""https://docs.scipy.org/doc/scipy/"", None),
    seaborn=(""https://seaborn.pydata.org/"", None),
    sklearn=(""https://scikit-learn.org/stable/"", None),
)",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"html_theme = ""scanpydoc""",constant,,,,"Constant: html_theme = ""scanpydoc""",scverse,scanpy,1.10.1,,,,,"html_theme = ""scanpydoc""",html_theme,"""scanpydoc""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"html_theme_options = {
    ""repository_url"": repository_url,
    ""use_repository_button"": True,
}",constant,,,,"Constant: html_theme_options = {
    ""repository_url"": repository_url,
    ""use_repository_button"": True,
}",scverse,scanpy,1.10.1,,,,,"html_theme_options = {
    ""repository_url"": repository_url,
    ""use_repository_button"": True,
}",html_theme_options,"{
    ""repository_url"": repository_url,
    ""use_repository_button"": True,
}",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"html_static_path = [""_static""]",constant,,,,"Constant: html_static_path = [""_static""]",scverse,scanpy,1.10.1,,,,,"html_static_path = [""_static""]",html_static_path,"[""_static""]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,html_show_sphinx = False,constant,,,,Constant: html_show_sphinx = False,scverse,scanpy,1.10.1,,,,,html_show_sphinx = False,html_show_sphinx,False,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"html_logo = ""_static/img/Scanpy_Logo_BrightFG.svg""",constant,,,,"Constant: html_logo = ""_static/img/Scanpy_Logo_BrightFG.svg""",scverse,scanpy,1.10.1,,,,,"html_logo = ""_static/img/Scanpy_Logo_BrightFG.svg""",html_logo,"""_static/img/Scanpy_Logo_BrightFG.svg""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"html_title = ""scanpy""",constant,,,,"Constant: html_title = ""scanpy""",scverse,scanpy,1.10.1,,,,,"html_title = ""scanpy""",html_title,"""scanpy""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"htmlhelp_basename = f""{project}doc""",constant,,,,"Constant: htmlhelp_basename = f""{project}doc""",scverse,scanpy,1.10.1,,,,,"htmlhelp_basename = f""{project}doc""",htmlhelp_basename,"f""{project}doc""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"doc_title = f""{project} Documentation""",constant,,,,"Constant: doc_title = f""{project} Documentation""",scverse,scanpy,1.10.1,,,,,"doc_title = f""{project} Documentation""",doc_title,"f""{project} Documentation""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"latex_documents = [(master_doc, f""{project}.tex"", doc_title, author, ""manual"")]",constant,,,,"Constant: latex_documents = [(master_doc, f""{project}.tex"", doc_title, author, ""manual"")]",scverse,scanpy,1.10.1,,,,,"latex_documents = [(master_doc, f""{project}.tex"", doc_title, author, ""manual"")]",latex_documents,"[(master_doc, f""{project}.tex"", doc_title, author, ""manual"")]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"man_pages = [(master_doc, project, doc_title, [author], 1)]",constant,,,,"Constant: man_pages = [(master_doc, project, doc_title, [author], 1)]",scverse,scanpy,1.10.1,,,,,"man_pages = [(master_doc, project, doc_title, [author], 1)]",man_pages,"[(master_doc, project, doc_title, [author], 1)]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"texinfo_documents = [
    (
        master_doc,
        project,
        doc_title,
        author,
        project,
        ""One line description of project."",
        ""Miscellaneous"",
    )
]",constant,,,,"Constant: texinfo_documents = [
    (
        master_doc,
        project,
        doc_title,
        author,
        project,
        ""One line description of project."",
        ""Miscellaneous"",
    )
]",scverse,scanpy,1.10.1,,,,,"texinfo_documents = [
    (
        master_doc,
        project,
        doc_title,
        author,
        project,
        ""One line description of project."",
        ""Miscellaneous"",
    )
]",texinfo_documents,"[
    (
        master_doc,
        project,
        doc_title,
        author,
        project,
        ""One line description of project."",
        ""Miscellaneous"",
    )
]",,,,,,,,,,,
